C0151714	hypermagnesemia
C0014866	esophageal stenosis
C0009952	febrile convulsion
C0025209	melanosis
C0232605	regurgitation
C0235782	gallbladder cancer
C0024225	lymphangitis
C0341047	parotid gland enlargement
C0014534	epididymitis
C1527383	Morphea
C0008049	chicken pox
C0019123	hemothorax
C0006271	bronchiolitis
C0009193	coccydynia
C0013390	dysmenorrhea
C0031036	periarteritis nodosa
C0014121	bacterial endocarditis
C1282799	Penile swelling
C0010032	corneal abrasion
C0033998	Pterygium
C0035334	pigmentary retinopathy
C0032807	Post thrombotic syndrome
C0028077	night blindness
C0012546	Diphtheria
C1621958	glioblastoma multiforme
C0014173	Endometrial hyperplasia
C0023892	biliary cirrhosis
C0000832	premature separation of placenta
C0014583	episcleritis
C0006386	Bunion
C0004114	Astrocytoma
C0013080	trisomy 21
C1261473	sarcoma
C0162423	heat rash
C0024282	lymphocytosis
C0034931	reflex sympathetic dystrophy
C1370740	adrenal carcinoma
C0023241	Legionella
C0034194	pyloric stenosis
C0015300	exophthalmos
C0030807	pemphigus
C0476089	Endometrial cancer
C0032460	polycystic ovary disease
C0276143	Viral Pharyngitis
C0282488	Cystitis Interstitial
C0040921	trichomoniasis
C0035357	Retroperitoneal fibrosis
C0030756	Lice Infestation
C0005695	Bladder Neoplasm
C0040262	tinea versicolor
C0008925	cleft palate
C0032310	viral pneumonia
C0020624	hypomenorrhea
C0032519	Polymenorrhea
C0004095	asthenopia
C0152226	lagophthalmos
C0033375	prolactinoma
C0014179	Endometritis
C0014175	endometriosis
C0026975	myelitis
C0033775	anal pruritus
C0000814	abortion missed
C0029440	osteoma
C0262593	peripheral nerve injury
C0033046	PMs
C0014550	myoclonic epilepsy
C0028949	Oligomenorrhea
C0022951	lactose intolerance
C0035333	retinitis
C0017536	giardiasis
C0038013	ankylosing spondylitis
C0034951	refraction disorder
C0017605	angle closure glaucoma
C1458155	breast neoplasm
C0156221	acute glomerulonephritis
C0153062	Viral rash NOS
C0152020	gastric stasis
C0016412	folate deficiency
C0022073	iridocyclitis
C0085077	acute febrile neutrophilic dermatosis
C0029454	osteopetrosis
C0549473	thyroid cancer
C0520463	chronic active hepatitis
C0040145	thyroidectomy
C0006370	bulimia
C0003860	arteritis
C0020757	ichthyosis
C0020490	hypermetropia
C0010038	Corneal clouding
C0010417	cryptorchidism
C0162835	depigmentation
C0042998	vulvovaginitis
C0029191	orchitis
C0007095	carcinoid tumour
C0023370	Leriche syndrome
C1378703	renal cancer
C0028840	ocular hypertension
C0024228	Lymphatic Disorders
C0281863	hepatitis C antibody positive
C0041825	Tympanic membrane disorder
C0040423	tonsillectomy
C0040028	Essential Thrombocythemia
C0149825	adenoid hypertrophy
C0007855	cervical polyp
C0042341	varicocele
C0221244	dandruff
C0262666	vulval abscess
C0013592	ectropion
C0039128	syphilis
C0023891	alcoholic cirrhosis
C0205990	Vaginal prolapse
C0004690	balanitis
C0156384	vaginal dysplasia
C0005967	bone neoplasm
C0149630	Bicuspid Aortic Valve
C0007097	carcinoma
C0030491	parapsoriasis
C0032024	pityriasis
C0021807	Intertrigo
C0009663	anogenital warts
C0020569	salivary gland enlargement
C0476254	dyslexia
C0014860	esophageal perforation
C0011636	dermatophytosis
C0032284	pneumonectomy
C0011974	Dermatitis diaper
C0020438	hypercalcinuria
C0151468	thyroid adenoma
C0013537	eclampsia
C0040558	toxoplasmosis
C0085704	exploratory laparotomy
C0002418	amblyopia
C0010418	Cryptosporidiosis
C1384353	infestation
C0221773	hyperamylasaemia
C0009768	bacterial conjunctivitis
C0242786	high risk pregnancy
C0023531	leukoplakia
C0031048	constrictive pericarditis
C0026393	molluscum contagiosum
C0238454	cavernous sinus thrombosis
C0085159	Seasonal Affective Disorder
C0221759	brachial neuritis
C0010674	Cystic Fibrosis
C1384589	tinea cruris
C0013336	dwarfism
C0008449	chondrodystrophy
C0019048	hemoglobinuria
C0042376	vascular headache
C0020626	hypoparathyroidism
C0014390	entropion
C0040771	transurethral resection of the prostate
C0015734	faecal impaction
C0235857	decreased lacrimation
C0149707	hematospermia
C0155707	trifascicular block
C0549398	meibomianitis
C0043167	Pertussis
C0029434	Osteogenesis Imperfecta
C0036416	scleritis
C0020545	renovascular hypertension
C0162565	acute intermittent porphyria
C0026640	oral neoplasm
C0017661	IgA nephropathy
C0016689	ephelides
C0156312	testicular atrophy
C0042850	vitamin B deficiency
C0019699	HIV positive
C0042996	vulvitis
C0024899	mast cell disease
C0085653	pyogenic granuloma
C0684275	Haemophilia
C0035412	rhabdomyosarcoma
C0008497	choriocarcinoma
C0234925	Oily Skin
C0014089	encopresis
C0040250	Tinea Capitis
C0848558	hypospadias
C0242459	eosinophilic pneumonia acute
C0021359	infertility
C0019342	genital herpes
C0029189	orchiectomy
C0007384	cataplexy
C0010702	CYSTO
C0020445	familial hypercholesterolemia
C0039614	tetanus
C0021832	parasitic infection intestinal
C0008533	hemophilia B
C1260881	allergic bronchitis
C0018081	gonorrhea
C0027134	Myringitis
C0029899	otosclerosis
C0032463	erythremia
C0042755	Masculinization
C0232861	penile discharge
C0020604	hypochondriasis
C0542519	renal agenesis
C0041466	Typhoid
C0008513	chorioretinitis
C0266008	breast malformation
C0162678	neurofibromatosis
C0035579	rickets
C0266011	supernumerary nipple
C0011593	skin abrasion
C0269199	cervical stenosis
C0042063	urogenital abnormalities
C0002694	traumatic amputation
C0036916	sexually transmitted diseases
C0259756	Herxheimer reaction
C0035460	Vasomotor Rhinitis
C0155118	corneal degeneration
C0149783	corticosteroid therapy
C0001206	Acromegaly
C0003175	anthrax
C0000817	septic abortion
C0429468	anovulatory
C0156273	bladder diverticulum
C0035920	Rubella
C0281985	splinter
C0022735	hypogonadotropic hypogonadism
C0025218	chloasma
C0014935	estrogen replacement
C0034494	rabies
C1096328	central nervous system mass
C0162830	Photosensitivity reaction
C1611725	leukaemic infiltration brain
C0541767	platelet adhesiveness abnormal
C0242973	Ventricular dysfunction
C1167962	cytogenetic analysis abnormal
C0042023	pollakiuria
C0948183	myelocytosis
C0744403	gingival infection
C0748390	retroperitoneal lymphadenopathy
C0729847	iliac artery stenosis
C1096135	neutrophil count decreased
C0340861	electromechanical dissociation
C1262018	transplant failure
C0036982	shock haemorrhagic
C1698400	incision site oedema
C1141948	troponin increased
C0038565	subdiaphragmatic abscess
C0271051	Macular oedema
C0155765	capillary disorder
C0009760	Conjunctival haemorrhage
C0948344	escherichia urinary tract infection
C1519353	Rash papular
C0221201	Rash macular
C1112313	gastrointestinal mucosal disorder
C0008733	chylothorax
C0520863	diastolic dysfunction
C0151610	Tongue disorder
C0155966	diverticulum
C0151205	Periorbital oedema
C0264490	acute respiratory failure
C0936227	abnormal loss of weight
C0277585	drug intolerance
C0025293	meningitis listeria
C0398370	lipoedema
C0264714	cardiac failure acute
C0948525	musculoskeletal stiffness
C2830004	Somnolence
C0008625	cytogenetic abnormality
C0235437	Gravitational oedema
C0039496	temporomandibular joint syndrome
C0853068	glomerular filtration rate decreased
C0015402	Eye haemorrhage
C0239981	hypoalbuminaemia
C0155895	acute pulmonary oedema
C0520600	cardio-respiratory arrest
C0919780	metamyelocyte count increased
C0237849	skin desquamation
C2242501	brain natriuretic peptide
C0023311	intraocular lens implant
C0017178	Gastrointestinal disorder
C0849916	generalised erythema
C0042075	Urinary tract disorder
C0021080	immunosuppression
C0854467	Pancytopenia
C1963789	genital swelling
C0021368	Inflammation
C0019372	herpes virus infection
C0241669	venous occlusion
C0233472	affect lability
C0278678	metastatic renal cell carcinoma
C0031042	pericardial excision
C0151578	Blood creatinine increased
C0851341	Infestation
C0008370	Cholestasis
C0346156	benign breast neoplasm
C0241832	cerebrovascular insufficiency
C0333472	epidermolysis
C0450027	accidental exposure
C0238106	clostridium difficile colitis
C0151878	electrocardiogram qt prolonged
C0853117	blood testosterone decreased
C0263970	tendon rupture
C0007131	non-small cell lung cancer
C0242698	left ventricular dysfunction
C1096131	csf monocyte count increased
C0877322	muscle tightness
C0877248	adverse event
C0423791	Rash maculo-papular
C0549253	bladder dilatation
C0151609	Scrotal oedema
C1328317	ankle brachial index decreased
C0007222	Cardiovascular disorder
C0042790	Visual impairment
C0948374	large intestinal ulcer
C0333355	mucosal inflammation
C0947846	gastrointestinal disorder
C1869056	supraventricular tachyarrhythmia
C0151603	Generalised oedema
C1112192	erythrosis
C0279025	hormone therapy
C0020312	hydrothorax
C2242704	chronic myeloid leukaemia transformation
C0206160	reticulocytosis
C0311468	Blood bilirubin increased
C0743400	Ejection fraction decreased
C0919976	renal cancer metastatic
C0424091	decreased interest
C1112564	myopericarditis
C0234632	Visual acuity reduced
C0277890	blood pressure diastolic decreased
C0238113	radiation oesophagitis
C1700942	pulmonary arterial hypertension
C0851845	eyelid infection
C0877225	bone density decreased
C0004936	Mental disorder
C0949690	spinal osteoarthritis
C0033771	Prurigo
C0948425	large intestinal haemorrhage
C0920103	haematotoxicity
C0007193	congestive cardiomyopathy
C0152193	astigmatism
C0151604	Oedema genital
C0860967	Blood calcium decreased
C0151602	Swelling face
C0497365	rash generalised
C0151601	Conjunctival oedema
C1535950	gastrointestinal inflammation
C0542571	Face oedema
C0241266	subcutaneous abscess
C0883409	troponin i
C0237938	gastrointestinal ulcer
C0349506	Photosensitivity reaction
C0553692	Cerebral haemorrhage
C0042421	vasectomy
C1096444	altered visual depth perception
C2979982	Vaginal haemorrhage
C0948089	acute coronary syndrome
C0743680	eye oedema
C1142474	metastatic neoplasm
C0239729	genital rash
C0948087	haematoma infection
C0085612	Ventricular arrhythmia
C0549297	auricular swelling
C1262063	platelet function test abnormal
C0855333	electrocardiogram qt corrected interval prolonged
C0013609	localised oedema
C0340574	femoral arterial stenosis
C0009450	Infection
C0021053	Immune system disorder
C0853649	full blood count decreased
C0221203	Rash vesicular
C0266998	oral soft tissue disorder
C0013378	dysgeusia
C0151740	csf pressure increased
C1142115	enterocolitis infectious
C0400823	neutropenic colitis
C0542007	Cerebral haematoma
C1535939	pneumocystis jiroveci pneumonia
C1522378	large granular lymphocytosis
C2937358	Cerebral haemorrhage
C0854629	allogenic bone marrow transplantation therapy
C0015397	disorder of globe
C0204324	dental operation
C0851664	Bullous conditions
C0017612	open angle glaucoma
C0541923	Lip oedema
C0185240	bone lesion
C1112320	temperature intolerance
C0333243	Oedema
C0267792	hepatobiliary disease
C0234913	Rash erythematous
C0156238	renal cortical necrosis
C0424813	orbital oedema
C0151905	alanine aminotransferase increased
C0040053	Thrombosis
C0027765	Nervous system disorder
C0948014	red cell distribution width increased
C0007760	cerebellar syndrome
C0859667	personality change
C0520803	overdose
C0268000	Fluid retention
C0746883	febrile neutropenia
C0085641	Rash pustular
C0085642	livedo reticularis
C0041364	tumour lysis syndrome
C0234934	Urticaria vesiculosa
C1258215	Ileus
C0236065	oedema mouth
C0877318	medical device implantation
C0476280	musculoskeletal chest pain
C3665347	Visual impairment
C0156308	penile oedema
C0341402	rectal perforation
C0271412	ear haemorrhage
C0011071	sudden death
C0851353	Blood and lymphatic system disorders
C0948048	malignant neoplasm progression
C0851354	Ear and labyrinth disorders
C0919980	viith nerve paralysis
C1262102	blast cell count increased
C0153467	malignant peritoneal neoplasm
C0852802	intestinal obstruction
C1608945	exfoliative rash
C0849925	Ventricular failure
C0023473	Chronic myeloid leukaemia
C0264695	subendocardial ischaemia
C0000734	abdominal mass
C0178298	Skin disorder
C0151644	fibrin increased
C0023212	Pulmonary oedema
C1167760	bacterial test positive
C0151313	peripheral sensory neuropathy
C0547030	Visual impairment
C0281982	skin swelling
C0010828	Pancytopenia
C0853034	blood creatine phosphokinase increased
C0521471	Systemic lupus erythematosus rash
C0162285	Eyelid oedema
C0162287	abnormal faeces
C0234916	Rash follicular
C1262036	ocular toxicity
C3160858	Posterior reversible encephalopathy syndrome
C0473120	abdominal haematoma
C0748536	scleral haemorrhage
C0302858	protein-losing gastroenteropathy
C0206277	Fatal outcomes
C0015371	extrapyramidal disorder
C0949040	sinus disorder
C0856054	mental status changes
C0231926	respiratory gas exchange disorder
C1608969	ammonia increased
C0855395	coagulation factor ix level decreased
C0175167	Dermatitis acneiform
C0522178	self-injurious ideation
C0426597	fluid intake reduced
C1806780	csf protein increased
C0043121	wernicke's encephalopathy
C0234146	areflexia
C0234233	Tenderness
C0403592	chronic allograft nephropathy
C0521591	paraesthesia oral
C0302809	hepatitis fulminant
C0476434	sputum culture positive
C0549395	blood urea decreased
C1112256	peripheral sensorimotor neuropathy
C0231230	Fatigue
C0192863	colectomy
C0233718	pressure of speech
C0520966	coordination abnormal
C1869048	ageusia
C0553732	prothrombin level decreased
C1096730	staphylococcal infection
C0028643	Hypoaesthesia
C1869046	neuroleptic malignant syndrome
C0234458	abnormal dreams
C0376405	treatment noncompliance
C1535881	oral intake reduced
C0853777	blood albumin decreased
C0852990	blood thromboplastin
C0476320	red blood cell morphology
C0600104	compulsions
C0521849	drug interaction
C1696153	pitting oedema
C0236663	alcohol withdrawal syndrome
C0032541	Polyneuropathy
C0085623	akinesia
C1869039	dysthymic disorder
C0542313	sleep talking
C0038587	withdrawal syndrome
C0520887	electrocardiogram st segment depression
C0002957	anger
C0156439	metabolic disorder
C0233471	flat affect
C0877269	oedema due to hepatic disease
C0520587	vulvovaginal discomfort
C0013240	alveolar osteitis
C0239295	oesophageal candidiasis
C0347623	open wound
C0408591	intervertebral disc operation
C0686619	metastases to lymph nodes
C0024887	mastectomy
C0267827	hepatitis acute
C0542525	tongue injury
C0302295	Rash
C1704204	pedal pulse absent
C0151474	alcohol intolerance
C0852733	completed suicide
C0185216	sequestrectomy
C1869070	disturbance in attention
C0036600	self-medication
C0036601	self mutilation
C0869219	speech disorder
C0852810	blood creatinine decreased
C0877025	prothrombin time prolonged
C0919873	prescribed overdose
C0919875	therapy non-responder
C0242350	Erectile dysfunction
C0263870	intervertebral disc space narrowing
C0521839	influenza like illness
C0919672	multi-organ failure
C0086588	marasmus
C0856977	aggression
C0948649	liver transplant
C1168019	blood alcohol increased
C0853089	intentional self-injury
C1869050	anticholinergic syndrome
C0151691	high density lipoprotein decreased
C0085076	breast reconstruction
C0855242	disturbance in sexual arousal
C0154472	alcoholism
C0221470	aphagia
C0853018	blood thyroid stimulating hormone
C0948322	radiotherapy
C0238729	axillary mass
C0020903	illusion
C0854612	cardiotoxicity
C0852911	blood alkaline phosphatase increased
C0151667	globulins increased
C0151662	gamma-glutamyltransferase increased
C0038273	stereotypy
C0239333	clonus
C0155387	ill-defined disorder
C0860112	drug abuser
C2363825	lymphadenectomy
C0853206	alcohol interaction
C0876999	tumour marker increased
C0038435	Stress
C0856812	haemolysis
C0027609	drug withdrawal syndrome neonatal
C2242996	Paraesthesia
C0162557	acute hepatic failure
C1504424	antipsychotic drug level increased
C1869096	amphetamines
C0747752	polysubstance abuse
C0392185	repetitive speech
C0425130	imprisonment
C0236062	haptoglobin decreased
C0277730	sexual assault victim
C0877314	blood glucose fluctuation
C0233632	thinking abnormal
C0948594	musculoskeletal discomfort
C0520677	delusion
C0158889	foetal growth retardation
C0520775	cystitis klebsiella
C0549249	depressed level of consciousness
C0160390	hepatic trauma
C0195495	oophorectomy bilateral
C0241237	dysstasia
C0086525	Fatigue
C0684550	metastases to spine
C1696685	intentional drug misuse
C1964002	leukoencephalopathy
C0235309	Abdominal discomfort
C1328320	multiple drug overdose
C1168207	haemodialysis
C0877107	sinobronchitis
C0341697	renal impairment
C0035232	diaphragmatic paralysis
C0855476	blood lactate dehydrogenase decreased
C0162119	Haemoglobin decreased
C1142166	brugada syndrome
C2363856	stent embolisation
C0854029	blood creatine increased
C0341742	Urinary retention
C0541799	Dysgeusia
C0234238	Pain
C0860796	differential white blood cell count abnormal
C1262083	endoscopy gastrointestinal abnormal
C1291077	Abdominal distension
C0036980	Cardiogenic shock
C1699631	lymphocyte count decreased
C0877213	implantable defibrillator insertion
C0855642	blood uric acid abnormal
C0852913	blood amylase increased
C0948436	gastrostomy tube insertion
C1112386	cardiac ventricular disorder
C1167940	lymphocyte stimulation test positive
C0006110	brain death
C0029132	optic nerve disorder
C0340161	mediastinal haematoma
C0277885	blood pressure systolic decreased
C0277884	blood pressure systolic increased
C0409974	Systemic lupus erythematosus
C0150450	altered state of consciousness
C0030232	Pallor
C0149504	toxic encephalopathy
C0861113	chemotherapeutic drug level increased
C0239134	productive cough
C0235996	hepatic enzyme
C0007273	carotid artery disease
C0853321	fungus urine test positive
C0853759	blood potassium
C0853692	blood triglycerides increased
C0037274	dermatosis
C1735340	extrasystoles
C0232493	Abdominal pain upper
C0001139	acinetobacter infection
C1699501	biliary tract infection
